StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,pid,pid.check,VAL2,hear_about_study,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your PID (the nine digit UCSD student identifier number that begins with an “A” or “U”)?

Note: this response is used to automatically match data between different parts of the study and will NOT be accessible by the research team",Please enter your PID again,While filling out my responses to the mobile app prompts:,Did you hear about the details of this study from another person?,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID180_TEXT""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID179""}","{""ImportId"":""id""}"
2022-03-29 13:17:10,2022-03-29 13:17:34,1,,100,24,1,2022-03-29 13:17:35,R_301uHvUryiHr2QE,,,,,32.8594970703125,-117.21240234375,preview,EN,,,4,1,
2022-03-29 13:47:08,2022-03-29 13:47:41,1,,100,32,1,2022-03-29 13:47:46,R_pshwvVwrWhQ1Efn,,,,,32.8594970703125,-117.21240234375,preview,EN,asdfasdf,asdfasdf,6,1,
2022-03-29 14:56:23,2022-03-29 14:56:35,1,,100,12,1,2022-03-29 14:56:36,R_32JkheHYlGPEtob,,,,,32.8594970703125,-117.21240234375,preview,EN,,,,,
2022-03-31 15:56:49,2022-03-31 15:57:38,0,132.239.182.99,100,48,1,2022-03-31 15:57:40,R_2bNnk0HWqxsolfa,,,,,32.842498779296875,-117.2483978271484375,anonymous,EN,AAAAAAAA,AAAAAAAA,5,2,
2022-04-01 04:52:16,2022-04-01 04:53:05,0,141.23.217.141,100,49,1,2022-04-01 04:53:05,R_2pRlT6VbsLxZ0S8,,,,,52.5196075439453125,13.4069061279296875,anonymous,EN,Madeleine,Madeleine,1,2,
2022-04-01 19:36:38,2022-04-01 19:37:01,1,,100,22,1,2022-04-01 19:37:01,R_2amlmly5w9pfKFW,,,,,32.8594970703125,-117.21240234375,preview,EN,asdfasdf,asdfasdf,6,2,
2022-03-29 14:51:27,2022-03-29 14:56:20,0,75.80.54.240,14,292,0,2022-04-05 14:56:27,R_1PS2Ja0xmXD6yUm,,,,,,,anonymous,EN,,,,,
2022-03-31 17:31:19,2022-03-31 17:31:32,0,76.176.206.60,14,13,0,2022-04-07 17:31:35,R_9zDXhSz9Eoz3UVH,,,,,,,anonymous,EN,,,,,
2022-04-10 10:02:08,2022-04-10 10:02:33,0,72.197.26.243,100,25,1,2022-04-10 10:02:34,R_2bI8FLlTZC17FrB,,,,,32.8466033935546875,-116.9770050048828125,anonymous,EN,A17158772,A17158772,1,2,40661
2022-04-11 18:16:24,2022-04-11 18:17:06,0,172.56.30.38,100,42,1,2022-04-11 18:17:06,R_vJsVXFEGkC1B7hv,,,,,34.252899169921875,-118.417999267578125,anonymous,EN,A17155948,A17155948,1,2,40794
2022-04-12 11:32:22,2022-04-12 11:32:54,0,103.211.183.154,100,31,1,2022-04-12 11:32:56,R_26eFn01rxctJqiq,,,,,37.379302978515625,-122.1199951171875,anonymous,EN,A17151380,A17151380,1,2,42589
2022-04-12 13:50:37,2022-04-12 13:51:43,0,75.80.50.145,100,66,1,2022-04-12 13:51:44,R_2uNHgd2RZDakbRM,,,,,32.8594970703125,-117.21240234375,anonymous,EN,A15575239,A15575239,4,2,27020
2022-04-12 21:05:09,2022-04-12 21:06:02,0,137.110.36.112,100,52,1,2022-04-12 21:06:02,R_2zAzOTBGnubluhO,,,,,32.9511,-117.2241,anonymous,EN,A15959775,A15959775,4,2,31366
2022-04-18 10:02:57,2022-04-18 10:03:39,0,104.28.85.109,100,42,1,2022-04-18 10:03:40,R_3ISF3fELzKRMxHL,,,,,33.7629,-118.1889,anonymous,EN,A15389965,A15389965,1,2,26796
2022-04-20 10:07:31,2022-04-20 10:08:45,0,76.167.197.189,100,74,1,2022-04-20 10:08:46,R_5hVYj9ZHgmuU9qN,,,,,32.8246,-117.1971,anonymous,EN,A16598939,A16598939,1,2,39333
2022-04-22 15:36:30,2022-04-22 15:37:17,0,137.110.201.6,100,46,1,2022-04-22 15:37:17,R_2v8OecV7DcVUcum,,,,,32.8595,-117.2124,anonymous,EN,A15595325,A15595325,1,2,30093
2022-04-25 10:19:53,2022-04-25 10:20:33,0,76.176.144.247,100,40,1,2022-04-25 10:20:34,R_2QfeMw2EoTktHhi,,,,,32.8595,-117.2124,anonymous,EN,A16454931,A16454931,1,2,41419
2022-04-25 11:41:43,2022-04-25 11:42:08,0,69.196.37.249,100,25,1,2022-04-25 11:42:09,R_2R9RLuEfBEGwyZP,,,,,32.6387,-117.0801,anonymous,EN,A17055840,A17055840,1,2,43709
2022-04-25 14:35:38,2022-04-25 14:36:09,0,66.27.52.158,100,30,1,2022-04-25 14:36:09,R_2ahsxXImyJlNnOj,,,,,32.8919,-117.2035,anonymous,EN,A16000926,A16000926,4,2,33628
2022-04-25 21:13:33,2022-04-25 21:13:52,0,70.95.18.69,100,18,1,2022-04-25 21:13:52,R_2dPSZ5bgeAcVNgQ,,,,,32.9164,-117.1393,anonymous,EN,A16000926,A16000926,4,2,36499
2022-04-26 14:20:49,2022-04-26 14:21:18,0,76.88.100.54,100,28,1,2022-04-26 14:21:18,R_1MYFQM2AyUGwNCb,,,,,32.8246,-117.1971,anonymous,EN,A15382743,A15382743,1,2,27088
2022-04-27 18:07:23,2022-04-27 18:07:56,0,128.54.206.33,100,33,1,2022-04-27 18:07:56,R_6D28HmT0WHw4Zax,,,,,32.8509,-117.2722,anonymous,EN,A16199023,A16199023,1,2,39335
